score,portugal_goals,spain_goals,poisson_probability,poisson_probability_pct,monte_carlo_count,monte_carlo_probability,monte_carlo_probability_pct
5-4,5,4,0.0012790810564025591,0.1279081056402559,126,0.00126,0.126
6-3,6,3,0.0009196090462408789,0.09196090462408789,108,0.00108,0.108
0-6,0,6,0.0008464470565433419,0.08464470565433418,98,0.00098,0.098
3-6,3,6,0.0007331856462284285,0.07331856462284285,86,0.00086,0.086
7-1,7,1,0.0005292499559277708,0.05292499559277708,51,0.00051,0.051000000000000004
1-7,1,7,0.00033642035834845457,0.03364203583484546,45,0.00045,0.045
5-5,5,5,0.00041088482705466697,0.041088482705466695,38,0.00038,0.038
7-2,7,2,0.00042503322115817474,0.04250332211581748,29,0.00029,0.029
4-6,4,6,0.0003174990507573708,0.03174990507573708,29,0.00029,0.029
6-4,6,4,0.00036926256748078093,0.03692625674807809,26,0.00026,0.026
7-0,7,0,0.0003295101440380198,0.03295101440380198,25,0.00025,0.025
2-7,2,7,0.00029136725461155726,0.029136725461155727,25,0.00025,0.025
7-3,7,3,0.0002275588148406616,0.02275588148406616,23,0.00023,0.023
0-7,0,7,0.00019421993329722176,0.019421993329722175,17,0.00017,0.017
5-6,5,6,0.00010999194842439663,0.010999194842439663,17,0.00017,0.017
7-4,7,4,9.137464726389405e-05,0.009137464726389405,13,0.00013,0.013
3-7,3,7,0.00016823174728315018,0.01682317472831502,12,0.00012,0.012
6-5,6,5,0.00011861983680989758,0.011861983680989757,11,0.00011,0.011000000000000001
8-0,8,0,7.134561245515781e-05,0.0071345612455157815,10,0.0001,0.01
1-8,1,8,6.754361855419105e-05,0.006754361855419105,9,9e-05,0.009000000000000001
8-1,8,1,0.00011459332263584358,0.011459332263584358,7,7e-05,0.006999999999999999
8-2,8,2,9.202829116489847e-05,0.009202829116489848,7,7e-05,0.006999999999999999
2-8,2,8,5.849823952770691e-05,0.005849823952770691,7,7e-05,0.006999999999999999
4-7,4,7,7.285115351673536e-05,0.007285115351673536,6,6e-05,0.006
8-3,8,3,4.9271087121686855e-05,0.0049271087121686855,6,6e-05,0.006
3-8,3,8,3.3776139538584975e-05,0.0033776139538584976,6,6e-05,0.006
0-8,0,8,3.899382651706351e-05,0.0038993826517063506,4,4e-05,0.004
5-8,5,8,5.067070553295855e-06,0.0005067070553295854,3,3e-05,0.003
4-8,4,8,1.4626435060361416e-05,0.0014626435060361416,2,2e-05,0.002
7-5,7,5,2.935267937107976e-05,0.002935267937107976,1,1e-05,0.001
5-7,5,7,2.5237997723634243e-05,0.0025237997723634243,1,1e-05,0.001
8-4,8,4,1.9784459719590092e-05,0.001978445971959009,1,1e-05,0.001
6-7,6,7,7.286049457814987e-06,0.0007286049457814987,1,1e-05,0.001
6-6,6,6,3.175397608626883e-05,0.003175397608626883,1,1e-05,0.001
6-8,6,8,1.4628310479233714e-06,0.00014628310479233714,1,1e-05,0.001
8-6,8,6,1.7013239795780561e-06,0.0001701323979578056,1,1e-05,0.001
7-6,7,6,7.857575123045628e-06,0.0007857575123045628,0,0.0,0.0
8-5,8,5,6.355448913548256e-06,0.0006355448913548256,0,0.0,0.0
7-7,7,7,1.8029452692623165e-06,0.00018029452692623166,0,0.0,0.0
8-7,8,7,3.9037412591403394e-07,3.90374125914034e-05,0,0.0,0.0
7-8,7,8,3.6198001850709515e-07,3.6198001850709515e-05,0,0.0,0.0
8-8,8,8,7.837599717093452e-08,7.837599717093451e-06,0,0.0,0.0
